City,PointX,PointY
גני יוחנן,184689.8424,640598.3157
גינתון,191979.3488,652283.0239
בקוע,193011.064,637420.984099999
שיבולים,162693.9971,589541.003599999
יטבתה,205802.5761,422945.231799999
אלוני יצחק,200595.2219,712940.763699999
גבעת השלושה,192757.5546,667235.4724
עינת,194402.6419,665537.9947
גאולי תימן,190965.0013,699863.384
שלווה,177987.8062,608104.479699999
כפר עבודה,194659.4059,684953.814200001
בית חירות,188109.4312,698113.5241
עין שריד,194161.0407,686704.4932
רמת פנקס,185173.8553,660245.161599999
שדה בוקר,180176.4963,531258.2861
איתנים,209155.4018,631742.607100001
כפר הרי"ף,180385.2635,628623.860400001
כפר חסידים ב',208475.0945,739786.043
כפר הנוער הדתי,209591.9879,738690.7875
עבדון,217396.3796,772695.726
שבלי - אום אל-גנם,237664.1877,732430.7217
ישע,143039.9553,573167.359999999
שגב,223975.7452,752343.625499999
גבעת ישעיהו,195111.3839,619800.504699999
שער מנשה,201808.8061,706330.344000001
רכסים,209829.0615,739714.7511
ביאדה,215846.823,718130.4429
סואעד (חמרייה),216014.7262,741410.7245
בסמת טבעון,214111.849,738463.3862
זרזיר,221209.1244,736751.051000001
כעביה-טבאש-חג'אג'רה,218227.8054,739179.6818
חמאם,246182.4972,748380.367000001
מנשית זבדה,218361.6423,734555.8222
רומת הייב,228687.1679,742749.8453
ביר אל-מכסור,221185.2399,743199.3408
מבשרת ציון,214351.3104,634161.532299999
אור עקיבא,192733.2338,712852.6589
חרוצים,187449.0921,681582.221799999
שדרות,161833.935,603908.422
קריית מלאכי,176040.5163,626749.905200001
יעף,196866.434,686007.204500001
שתולה,229700.4202,776725.0897
אוהד,145870.187,571970.8606
חזון,237298.0292,756803.8815
רמת אפעל,184560.6303,661587.003
בית חשמונאי,192280.3342,644066.4703
תלמי אליהו,145607.0006,571009.6995
קטורה,205644.17,431208.132200001
תל שבע,186662.882,572992.2915
נווה זוהר,234706.3517,562358.189400001
שדה ניצן,144671.1458,571211.336200001
כסיפה,207606.6299,572578.662
לקיה,187125.805,581394.8462
נצרת עילית,230546.4225,735559.382999999
נווה אפרים,188239.8563,659169.166099999
מעלות-תרשיחא,226714.9734,769195.974400001
אמירים,242366.9153,760379.328500001
בני עי"ש,177384.7622,633021.2662
דוב"ב,238607.7661,773207.0524
אדמית,220908.5699,776728.4978
רם-און,224634.0425,714863.577500001
אביעזר,201548.1084,621011.669500001
נווה מיכאל,200615.7508,620084.772399999
גן הדרום,171773.0599,634707.9923
בית ברל,193259.8164,678680.683700001
צפרירים,194679.6924,618694.030999999
מבועים,167139.8642,595376.522299999
אבן מנחם,227793.2052,775477.6917
מעגלים,161844.3753,589587.1195
תושייה,156354.0397,593719.2223
בן שמן (כפר נוער),193301.4203,651891.627
כרם שלום,131804.5047,571062.851
כרם יבנה (ישיבה),173744.4758,636398.6186
דבורייה,235152.6579,732791.0649
דיר אל-אסד,225212.3137,760283.521500001
דייר חנא,234752.5233,752012.874399999
דייר ראפאת,195095.5816,631539.980599999
עיר כרמל,205241.3949,733215.2871
חורפיש,232560.5866,769061.775
טייבה (בעמק),242022.8742,723299.659600001
טורעאן,235447.0534,742524.0891
יפיע,226138.71,732192.452199999
ירכא,219244.0442,762158.1383
כאבול,219716.2985,753040.9715
כאוכב אבו אל-היג'א,223568.6756,748427.547800001
כפר כמא,241538.9848,736357.6193
